image,type,style,color,material,shape,details,room_type,price_range,prompt
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225843A80>,bed,zen,crimson,cork,wingback,adjustable base,dorm,luxury,"Professional product photography of a zen crimson bed, made of cork, wingback shape, featuring adjustable base, dorm in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225843BB0>,bed,scandinavian,oak,wool,geometric,thin mattress frame,vacation,elite,"Professional product photography of a scandinavian oak bed, made of wool, geometric shape, featuring thin mattress frame, vacation in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225843CE0>,bed,scandinavian,brown,cotton,curved,low to ground,dorm,elite,"Professional product photography of a scandinavian brown bed, made of cotton, curved shape, featuring low to ground, dorm in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225843E10>,bed,minimalist,coral,teak,floating,thick mattress frame,dorm,elite,"Professional product photography of a minimalist coral bed, made of teak, floating shape, featuring thick mattress frame, dorm in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864050>,bed,deco,coral,leather,round,basic frame,dorm,elite,"Professional product photography of a deco coral bed, made of leather, round shape, featuring basic frame, dorm in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864180>,bed,modern,bronze,bamboo,platform,storage drawer,studio,luxury,"Professional product photography of a modern bronze bed, made of bamboo, platform shape, featuring storage drawer, studio in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282258642B0>,bed,industrial,gold,pine,wingback,fabric panels,suite,luxury,"Professional product photography of a industrial gold bed, made of pine, wingback shape, featuring fabric panels, suite in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282258643E0>,bed,provincial,black,walnut,geometric,wooden legs,dorm,custom,"Professional product photography of a provincial black bed, made of walnut, geometric shape, featuring wooden legs, dorm in mind, custom price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864510>,bed,modern,emerald,cork,modular,foot bench,penthouse,elite,"Professional product photography of a modern emerald bed, made of cork, modular shape, featuring foot bench, penthouse in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864640>,bed,victorian,ivory,teak,platform,fabric panels,loft,custom,"Professional product photography of a victorian ivory bed, made of teak, platform shape, featuring fabric panels, loft in mind, custom price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864770>,bed,bohemian,ivory,teak,slim,wide base,master,elite,"Professional product photography of a bohemian ivory bed, made of teak, slim shape, featuring wide base, master in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282258648A0>,bed,deco,black,pine,platform,adjustable base,guest,elite,"Professional product photography of a deco black bed, made of pine, platform shape, featuring adjustable base, guest in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282258649D0>,bed,colonial,azure,oak,floating,wooden legs,kids,premium,"Professional product photography of a colonial azure bed, made of oak, floating shape, featuring wooden legs, kids in mind, premium price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864B00>,bed,industrial,emerald,wool,slim,wall mounted,loft,elite,"Professional product photography of a industrial emerald bed, made of wool, slim shape, featuring wall mounted, loft in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864C30>,bed,victorian,burgundy,cotton,modular,metal accents,penthouse,budget,"Professional product photography of a victorian burgundy bed, made of cotton, modular shape, featuring metal accents, penthouse in mind, budget price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864D60>,bed,rustic,coral,rattan,canopy,center support,kids,luxury,"Professional product photography of a rustic coral bed, made of rattan, canopy shape, featuring center support, kids in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864E90>,bed,deco,brown,leather,geometric,wooden legs,kids,elite,"Professional product photography of a deco brown bed, made of leather, geometric shape, featuring wooden legs, kids in mind, elite price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x28225864FC0>,bed,modern,navy,leather,round,storage drawer,master,luxury,"Professional product photography of a modern navy bed, made of leather, round shape, featuring storage drawer, master in mind, luxury price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
<PIL.PngImagePlugin.PngImageFile image mode=RGB size=448x448 at 0x282258650F0>,bed,industrial,bronze,cork,slim,foldable frame,master,custom,"Professional product photography of a industrial bronze bed, made of cork, slim shape, featuring foldable frame, master in mind, custom price range. Pure white background, studio lighting, commercial product photography, 8k, ultra detailed, centered composition, professional furniture catalog style"
